GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,12,45,1,1,4,10,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,26,30,1,1,6,8,3,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,17,39,1,1,5,9,2,6,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,12,45,1,1,4,10,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,12,45,1,1,4,10,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,12,39,1,1,4,9,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.dto,RuleNameDTO,52,0,0,0,22,0,15,0,15,0
spring-boot-skeleton,com.nnk.springboot.dto,RatingDTO,38,0,0,0,16,0,11,0,11,0
spring-boot-skeleton,com.nnk.springboot.dto,CurvePointDTO,77,0,6,0,26,0,16,0,13,0
spring-boot-skeleton,com.nnk.springboot.dto,BidListDTO,202,0,8,0,76,0,49,0,45,0
spring-boot-skeleton,com.nnk.springboot.dto,TradeDTO,195,0,8,0,73,0,47,0,43,0
spring-boot-skeleton,com.nnk.springboot.dto,UserDTO,38,0,0,0,16,0,11,0,11,0
spring-boot-skeleton,com.nnk.springboot.servicesImpl,BidListServiceImpl,4,52,3,3,2,12,3,6,0,6
spring-boot-skeleton,com.nnk.springboot.servicesImpl,UserServiceImpl,15,98,3,3,5,24,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.servicesImpl,RatingServiceImpl,2,38,1,1,1,9,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.servicesImpl,TradeServiceImpl,2,38,1,1,1,9,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.servicesImpl,CurveServiceImpl,2,38,1,1,1,9,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.servicesImpl,RuleNameServiceImpl,7,38,1,1,2,9,2,6,1,6
spring-boot-skeleton,com.nnk.springboot.constant,ConstantNumbers,3,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.security,MyUserDetails,0,40,0,0,0,14,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.security,MyUserDetailsService,0,42,0,2,0,11,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.security,SpringSecurityConfig,0,106,0,0,0,13,0,3,0,3
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,71,0,0,0,30,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,97,0,0,0,40,0,17,0,17
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,169,0,0,0,73,0,46,0,46
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,171,0,0,0,74,0,45,0,45
spring-boot-skeleton,com.nnk.springboot.domain,User,0,53,0,0,0,23,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,58,0,0,0,25,0,14,0,14
